page,rows,elapsed_ms
355,1000,2.247
356,1000,3.771
357,1000,2.402
358,1000,2.275
359,1000,2.675
360,1000,2.554
361,1000,2.669
362,1000,2.548
363,1000,3.271
364,1000,2.274
365,1000,2.200
366,1000,2.469
367,1000,2.431
368,1000,2.271
369,1000,2.323
370,1000,2.215
371,1000,2.328
372,1000,2.428
373,1000,2.232
374,1000,2.386
375,1000,2.563
376,1000,2.588
377,1000,2.267
378,1000,2.260
379,1000,2.181
380,1000,2.204
381,1000,2.568
382,1000,3.192
383,1000,2.924
384,1000,2.668
385,1000,2.806
386,1000,2.769
387,1000,3.795
388,1000,2.393
389,1000,2.293
390,1000,2.231
391,1000,2.224
392,1000,2.296
393,1000,2.170
394,1000,2.231
395,1000,2.315
396,1000,2.307
397,1000,2.272
398,1000,2.194
399,1000,2.234
400,1000,2.124
401,1000,2.291
402,1000,2.309
403,1000,2.252
404,1000,2.196
405,1000,2.331
406,1000,2.246
407,1000,2.212
408,1000,2.182
409,1000,2.186
410,1000,2.184
411,1000,2.224
412,1000,2.197
413,1000,2.142
414,1000,2.176
415,1000,2.145
416,1000,2.855
417,1000,2.293
418,1000,2.206
419,1000,2.331
420,1000,2.311
421,1000,2.175
422,1000,2.178
423,1000,2.223
424,1000,2.402
425,1000,2.240
426,1000,2.165
427,1000,2.210
428,1000,2.161
429,1000,2.149
430,1000,2.235
431,1000,2.146
432,1000,2.182
433,1000,2.169
434,1000,2.139
435,1000,2.178
436,1000,2.151
437,1000,2.329
438,1000,2.313
439,1000,2.185
440,1000,2.298
441,1000,2.235
442,1000,2.194
443,1000,2.315
444,1000,2.233
445,1000,2.164
446,1000,2.284
447,1000,2.258
448,1000,2.204
449,1000,2.162
450,1000,2.157
451,1000,2.333
452,1000,2.397
453,1000,2.242
454,1000,2.186
455,1000,2.306
456,1000,2.236
457,1000,2.162
458,1000,2.310
459,1000,2.178
460,1000,2.189
461,1000,2.254
462,1000,2.470
463,1000,2.197
464,1000,2.207
465,1000,2.211
466,1000,2.211
467,1000,2.296
468,1000,2.265
469,1000,2.863
470,1000,2.206
471,1000,2.252
472,1000,2.167
473,1000,2.268
474,1000,2.191
475,1000,2.221
476,1000,2.218
477,1000,2.318
478,1000,2.176
479,1000,2.172
480,1000,2.107
481,1000,2.178
482,1000,2.137
483,1000,2.163
484,1000,2.209
485,1000,2.350
486,1000,2.125
487,1000,2.269
488,1000,2.200
489,1000,2.189
490,1000,2.361
491,1000,2.300
492,1000,2.274
493,1000,2.447
494,1000,2.475
495,1000,2.192
496,1000,2.229
497,1000,2.487
498,1000,2.535
499,1000,2.465
500,1000,2.406
501,1000,2.456
502,1000,2.437
503,1000,2.682
504,1000,3.054
505,1000,2.243
506,1000,2.336
507,1000,3.520
508,1000,2.193
509,1000,2.425
510,1000,2.285
511,1000,2.332
512,1000,2.455
513,1000,2.207
514,1000,2.484
515,1000,2.341
516,1000,2.550
517,1000,2.484
518,1000,2.579
519,1000,2.482
520,1000,2.713
521,1000,2.395
522,1000,2.739
523,1000,3.697
524,1000,3.164
525,1000,2.383
526,1000,2.600
527,1000,2.534
528,1000,2.392
529,1000,2.454
530,1000,3.164
531,1000,2.578
532,1000,2.481
533,1000,2.633
534,1000,2.507
535,1000,2.452
536,1000,3.283
537,1000,2.384
538,1000,2.555
539,1000,2.547
540,1000,3.520
541,1000,2.540
542,1000,2.593
543,1000,2.421
544,1000,2.190
545,1000,2.185
546,1000,2.166
547,1000,2.154
548,1000,2.193
549,1000,2.286
550,1000,2.400
551,1000,2.303
552,1000,2.452
553,1000,2.519
554,1000,2.519
555,1000,2.436
556,1000,3.499
557,1000,2.856
558,1000,3.431
559,1000,3.775
